,tweet_id,text,favorite_count,retweet_count,created_at
31,1387810775780102147,"RT @MeghUpdates: #Breaking: Bharat Biotech reduces prices of COVAXIN for  states by ₹ 200. 
States will get vaccine at ₹400.
Centre will ge…",0,936,Thu Apr 29 16:47:27 +0000 2021
32,1387810771225042956,RT @horror06: Europe going back to a tried and tested vaccine. Like Covaxin. I will never understand why the Indian govt did not fund BB to…,0,84,Thu Apr 29 16:47:26 +0000 2021
33,1387810766158401539,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:47:25 +0000 2021
34,1387810758428303363,RT @htTweets: #BharatBiotech decides to reduce the price of its COVID-19 vaccine #Covaxin from Rs 600 per dose to Rs 400 per dose for the s…,0,5,Thu Apr 29 16:47:23 +0000 2021
35,1387810730489962499,"RT @BharatBiotech: Bharat Biotech - COVAXIN® Announcement - April 29, 2021 https://t.co/RgnROIfUCe",0,1902,Thu Apr 29 16:47:17 +0000 2021
36,1387810725020672002,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:47:15 +0000 2021
37,1387810721090527235,"RT @nsitharaman: “ Covaxin, India's home-grown COVID-19 vaccine, has been found to neutralise the 617 variant of the deadly virus...” Dr. F…",0,3137,Thu Apr 29 16:47:14 +0000 2021
38,1387810708713218052,"RT @kktotlani: Latest: After SII, Bharat Biotech reduces prices of COVAXIN for  states by ₹ 200. 
States will get vaccine at ₹400.
Centre w…",0,23,Thu Apr 29 16:47:11 +0000 2021
39,1387810675011985409,RT @vinayak_jain: In the next 15 days Gujarat will receive 2.5 crore vaccine doses of Covishield and Covaxin. Kudos @vijayrupanibjp sir 🙏🏻…,0,7,Thu Apr 29 16:47:03 +0000 2021
40,1387810667357380610,@mybmc where can i get 2nd dose of Covaxin which is due for my parents?,0,0,Thu Apr 29 16:47:02 +0000 2021
41,1387810660675817472,"RT @BharatBiotech: Bharat Biotech - COVAXIN® Announcement - April 29, 2021 https://t.co/RgnROIfUCe",0,1902,Thu Apr 29 16:47:00 +0000 2021
42,1387810650957651972,"RT @elmihiro: Shocked to know that Covaxin was studied by its developer and India’s apex body for medical research. 

Instead it should hav…",0,507,Thu Apr 29 16:46:58 +0000 2021
43,1387810644221566979,RT @sudhirchaudhary: .⁦@BharatBiotech⁩ announces the reduced price of COVAXIN from ₹600 to ₹400 per dose for state governments. https://t.c…,0,359,Thu Apr 29 16:46:56 +0000 2021
44,1387810638827724803,RT @vinayak_jain: In the next 15 days Gujarat will receive 2.5 crore vaccine doses of Covishield and Covaxin. Kudos @vijayrupanibjp sir 🙏🏻…,0,7,Thu Apr 29 16:46:55 +0000 2021
45,1387810621303902208,"RT @MeghUpdates: #Breaking: Bharat Biotech reduces prices of COVAXIN for  states by ₹ 200. 
States will get vaccine at ₹400.
Centre will ge…",0,936,Thu Apr 29 16:46:51 +0000 2021
46,1387810619945103363,RT @Sanjay_Dixit: Congress eco system is squarely responsible for every 45 years plus death in the country. In their eagerness to lobby for…,0,1769,Thu Apr 29 16:46:50 +0000 2021
